Name,Type,pH,Humidity,Moisture,Lifespan
Mango,Fruit,5.5-7.5,50-80%,Medium,100
Neem,Medicinal,6.0-8.0,40-70%,Low,150
Jackfruit,Fruit,6.0-7.5,60-90%,High,60
Teak,Timber,6.5-7.5,40-80%,Medium,150
Mahogany,Timber,6.0-7.5,50-80%,Medium,100
Bamboo,Multipurpose,5.5-6.5,60-90%,High,50
Guava,Fruit,5.0-7.0,50-80%,Medium,40
Papaya,Fruit,5.5-6.5,60-90%,High,20
Coconut,Fruit,5.0-8.0,60-90%,High,80
Eucalyptus,Timber,5.5-7.5,40-70%,Low,60
Peepal,Shade,6.0-8.0,40-80%,Medium,200
Ashoka,Ornamental,6.0-7.5,50-80%,Medium,100
Sandalwood,Medicinal,6.0-7.5,40-70%,Low,80
Cashew,Fruit,5.0-6.5,50-80%,Medium,45
Apple,Fruit,6.0-7.0,30-60%,Medium,80
Orange,Fruit,6.0-7.5,50-80%,Medium,50
Almond,Fruit,6.0-7.5,30-60%,Low,50
Banana,Fruit,5.5-6.5,60-90%,High,25
Pomegranate,Fruit,5.5-7.0,30-60%,Low,50
Fig,Fruit,6.0-7.5,30-60%,Low,50
Lychee,Fruit,5.0-6.5,60-80%,High,40
Mulberry,Fruit,5.5-6.5,50-80%,Medium,40
Sapodilla,Fruit,6.0-7.5,50-80%,Medium,60
Tamarind,Fruit,5.0-6.5,40-70%,Low,80
Date Palm,Fruit,7.0-8.5,20-50%,Low,100
Avocado,Fruit,5.0-7.0,50-80%,Medium,50
Black Plum,Fruit,5.5-6.5,50-80%,Medium,60
Custard Apple,Fruit,6.0-7.5,50-80%,Medium,40
Starfruit,Fruit,4.5-6.5,50-80%,High,35
Cinnamon,Medicinal,4.5-5.5,60-90%,High,50
Clove,Medicinal,5.5-6.5,60-80%,High,60
Bay Laurel,Medicinal,6.0-7.0,50-80%,Medium,40
Pepper Tree,Medicinal,5.5-6.5,60-80%,Medium,30
Areca Palm,Multipurpose,5.5-6.5,60-90%,High,40
Betel Nut,Multipurpose,5.5-6.5,60-90%,High,40
Rubber Tree,Multipurpose,5.0-6.5,60-90%,High,70
Cocoa,Fruit,5.0-7.5,60-90%,High,40
Coffee,Fruit,5.0-6.5,60-90%,High,40
Tea,Medicinal,4.5-5.5,60-90%,High,50
Grapefruit,Fruit,5.5-6.5,50-80%,Medium,40
Lemon,Fruit,5.5-6.5,50-80%,Medium,30
Mandarin Orange,Fruit,5.5-6.5,50-80%,Medium,35
Walnut,Fruit,6.0-7.0,40-70%,Low,100
Pistachio,Fruit,6.0-7.8,30-50%,Low,80
Hazelnut,Fruit,5.5-7.5,40-70%,Low,70
Chestnut,Fruit,5.5-6.5,50-80%,Medium,60
Kumquat,Fruit,5.5-6.5,50-80%,Medium,30
Persimmon,Fruit,6.0-7.5,50-80%,Medium,50
Breadfruit,Fruit,6.1-7.4,60-80%,High,70
Quince,Fruit,6.0-7.0,50-80%,Medium,50
Jujube,Fruit,5.5-6.5,30-60%,Low,60
Loquat,Fruit,6.0-8.0,50-80%,Medium,50
Medlar,Fruit,6.0-7.5,50-80%,Medium,30
Serviceberry,Fruit,5.0-6.5,50-80%,Medium,50
Olive,Fruit,6.0-8.0,20-50%,Low,100
Pawpaw,Fruit,5.5-7.0,50-80%,Medium,30
Baobab,Shade,6.0-8.0,20-50%,Low,2000
Kapok,Shade,6.0-7.5,40-70%,Medium,150
Silk Cotton,Shade,6.0-7.5,40-70%,Medium,100
Jacaranda,Ornamental,6.0-7.5,40-70%,Medium,50
Flame Tree,Ornamental,6.0-7.5,40-70%,Medium,60
Golden Shower Tree,Ornamental,6.0-7.5,40-70%,Medium,50
Gulmohar,Ornamental,6.0-7.5,40-70%,Medium,50
Royal Poinciana,Ornamental,6.0-7.5,40-70%,Medium,50
Bottlebrush,Ornamental,5.5-6.5,50-80%,Medium,30
Magnolia,Ornamental,5.5-6.5,50-80%,Medium,40
Cherry Blossom,Ornamental,5.5-6.5,40-70%,Medium,40
Dogwood,Ornamental,5.5-6.5,40-70%,Medium,40
Redbud,Ornamental,6.0-7.0,40-70%,Medium,30
Lilac,Ornamental,6.0-7.0,40-70%,Medium,25
Forsythia,Ornamental,6.0-7.5,40-70%,Medium,25
Hibiscus,Ornamental,6.0-7.5,50-80%,High,25
Camellia,Ornamental,5.0-6.5,50-80%,High,50
Azalea,Ornamental,4.5-6.0,50-80%,High,40
Rhododendron,Ornamental,4.5-6.0,50-80%,High,50
Gardenia,Ornamental,5.0-6.0,50-80%,High,30
Oleander,Ornamental,6.0-8.0,40-70%,Medium,30
Bougainvillea,Ornamental,5.5-6.0,40-70%,Low,40
Ixora,Ornamental,5.0-6.0,50-80%,High,25
Frangipani,Ornamental,6.0-7.5,40-70%,Medium,40
Crape Myrtle,Ornamental,5.0-6.5,50-80%,Medium,40
Mock Orange,Ornamental,5.5-7.0,50-80%,Medium,30
Snowball Bush,Ornamental,5.5-7.0,50-80%,Medium,30
Spirea,Ornamental,6.0-7.5,50-80%,Medium,25
Weigela,Ornamental,6.0-7.5,50-80%,Medium,25
Viburnum,Ornamental,5.5-6.5,50-80%,Medium,40
Heather,Ornamental,4.5-6.0,50-80%,High,30
Lavender,Ornamental,6.5-8.0,40-70%,Low,25
Rose,Ornamental,6.0-6.5,50-80%,Medium,30
Marigold,Ornamental,6.0-7.0,50-80%,Medium,1
Sunflower,Ornamental,6.0-7.5,40-70%,Medium,1
Zinnia,Ornamental,6.0-7.5,50-80%,Medium,1
Petunia,Ornamental,6.0-7.0,50-80%,Medium,1
Dahlia,Ornamental,6.0-7.0,50-80%,Medium,1
Geranium,Ornamental,5.8-6.3,50-80%,Medium,2
Begonia,Ornamental,5.5-6.5,50-80%,Medium,2
Coleus,Ornamental,6.0-7.0,50-80%,Medium,1
Impatiens,Ornamental,6.0-7.5,50-80%,Medium,1
Salvia,Ornamental,5.5-6.5,50-80%,Medium,1
Snapdragon,Ornamental,6.2-7.0,50-80%,Medium,1
Alyssum,Ornamental,6.0-7.5,50-80%,Medium,1
Sweet Pea,Ornamental,6.0-7.0,50-80%,Medium,1
Morning Glory,Ornamental,6.0-7.0,50-80%,Medium,1
Nasturtium,Ornamental,6.0-7.5,50-80%,Medium,1
Cosmos,Ornamental,6.0-7.0,50-80%,Medium,1
Calendula,Ornamental,6.0-7.5,50-80%,Medium,1
Pansy,Ornamental,5.4-5.8,50-80%,Medium,2
Viola,Ornamental,5.4-5.8,50-80%,Medium,2
Primrose,Ornamental,5.5-6.5,50-80%,Medium,2
Holly,Ornamental,5.0-6.0,50-80%,Medium,100
Yew,Ornamental,5.0-6.0,50-80%,Medium,500
Juniper,Ornamental,5.0-6.0,50-80%,Medium,700
Cedar,Timber,5.0-6.0,50-80%,Medium,800
Fir,Timber,5.0-6.0,50-80%,Medium,300
Spruce,Timber,5.0-6.0,50-80%,Medium,200
Pine,Timber,5.0-6.0,50-80%,Medium,400
Hemlock,Timber,5.0-6.0,50-80%,Medium,300
Redwood,Timber,5.5-6.5,40-70%,Medium,2000
Sequoia,Timber,5.5-6.5,40-70%,Medium,3000
Maple,Timber,5.5-6.5,40-70%,Medium,400
Birch,Timber,5.0-6.0,40-70%,Medium,150
Aspen,Timber,5.5-6.5,40-70%,Medium,80
Alder,Timber,5.5-6.5,40-70%,Medium,60
Willow,Shade,5.5-6.5,50-80%,High,50
Sycamore,Shade,5.5-6.5,50-80%,Medium,400
Elm,Shade,6.0-7.5,50-80%,Medium,300
Beech,Shade,5.0-6.5,50-80%,Medium,300
Hornbeam,Shade,5.5-6.5,50-80%,Medium,150
Cottonwood,Shade,5.5-6.5,50-80%,High,100
Poplar,Shade,5.5-6.5,50-80%,Medium,80
Plane Tree,Shade,6.0-7.5,50-80%,Medium,300
Ailanthus,Shade,5.5-6.5,50-80%,Medium,50
Tallow Tree,Multipurpose,5.5-6.5,50-80%,Medium,50
Camphor Tree,Medicinal,5.5-6.5,50-80%,Medium,100
Koa,Timber,5.5-6.5,50-80%,Medium,200
Ironwood,Timber,5.0-6.0,50-80%,Medium,500
Ebony,Timber,5.0-6.0,50-80%,Medium,200
Rosewood,Timber,5.5-6.5,50-80%,Medium,300
Wenge,Timber,5.5-6.5,50-80%,Medium,200
Iroko,Timber,5.5-6.5,50-80%,Medium,200
Padauk,Timber,5.5-6.5,50-80%,Medium,150
Zebrawood,Timber,5.5-6.5,50-80%,Medium,150
Bubinga,Timber,5.5-6.5,50-80%,Medium,150
Purpleheart,Timber,5.5-6.5,50-80%,Medium,200
Sapele,Timber,5.5-6.5,50-80%,Medium,150
Larch,Timber,5.0-6.0,50-80%,Medium,200
Douglas Fir,Timber,5.0-6.0,50-80%,Medium,300
Balsam Fir,Timber,5.0-6.0,50-80%,Medium,150
White Pine,Timber,5.0-6.0,50-80%,Medium,200
Scots Pine,Timber,5.0-6.0,50-80%,Medium,150
Lodgepole Pine,Timber,5.0-6.0,50-80%,Medium,150
Monterey Pine,Timber,5.0-6.0,50-80%,Medium,100
Aleppo Pine,Timber,5.0-6.0,50-80%,Medium,100
Stone Pine,Timber,5.0-6.0,50-80%,Medium,100
Longleaf Pine,Timber,5.0-6.0,50-80%,Medium,150
Shortleaf Pine,Timber,5.0-6.0,50-80%,Medium,150
Sugar Pine,Timber,5.0-6.0,50-80%,Medium,200
Ponderosa Pine,Timber,5.0-6.0,50-80%,Medium,300
Eastern White Pine,Timber,5.0-6.0,50-80%,Medium,200
Western White Pine,Timber,5.0-6.0,50-80%,Medium,200
Black Pine,Timber,5.0-6.0,50-80%,Medium,200
Red Pine,Timber,5.0-6.0,50-80%,Medium,150
Yellow Pine,Timber,5.0-6.0,50-80%,Medium,150
Pitch Pine,Timber,5.0-6.0,50-80%,Medium,150
Cypress,Timber,5.0-6.0,50-80%,Medium,500
Bald Cypress,Timber,5.0-6.0,50-80%,Medium,600
Mediterranean Cypress,Timber,5.0-6.0,50-80%,Medium,500
Arizona Cypress,Timber,5.0-6.0,50-80%,Medium,400
Hinoki Cypress,Timber,5.0-6.0,50-80%,Medium,400
Lawson Cypress,Timber,5.0-6.0,50-80%,Medium,500
